사고월,사고일,합계,과로,과속,앞지르기 방법위반,앞지르기 금지위반,중앙선 침범,신호위반,안전거리 미확보,서행 및 일시정지위반,부당한 회전,통행우선 순위위반,진로양보 의무 불이행,안전운전 의무 불이행,교차로 통행방법 위반,보행자 보호의무 위반,차로위반(진로변경 위반),직진 및 우회전차의 통행방해,철길건널목 통과방법위반,긴급자동차에대한 피양의무 위반,기타(운전자법규위반),정비불량 제차의 운전금지위반
11월,합계,"19,377",-,67,7,40,940,"2,159","1,788",45,139,-,2,"10,810","1,335",717,381,564,-,-,381,2
11월,01일,715,-,2,-,-,42,66,57,1,5,-,-,416,59,21,5,25,-,-,16,-
11월,02일,581,-,2,1,1,30,53,57,1,2,-,-,331,40,22,11,15,-,-,15,-
11월,03일,753,-,3,1,2,32,78,78,6,5,-,-,439,40,28,14,21,-,-,6,-
11월,04일,637,-,3,1,-,28,65,64,-,5,-,-,376,40,13,18,9,-,-,15,-
11월,05일,521,-,4,-,4,29,56,34,2,5,-,-,284,39,21,16,18,-,-,9,-
11월,06일,628,-,2,-,1,28,67,63,-,11,-,-,355,34,21,12,18,-,-,15,1
11월,07일,642,-,4,-,1,31,74,57,-,3,-,-,350,43,30,10,23,-,-,16,-
11월,08일,693,-,2,-,1,43,72,56,1,7,-,-,380,53,30,12,14,-,-,22,-
11월,09일,675,-,4,-,2,35,76,70,-,1,-,-,372,50,25,11,17,-,-,12,-
11월,10일,722,-,3,-,-,27,73,76,3,4,-,1,409,56,27,20,18,-,-,5,-
11월,11일,698,-,4,-,2,44,79,72,2,7,-,-,381,45,23,13,15,-,-,11,-
11월,12일,561,-,2,-,3,32,57,37,2,2,-,-,337,27,13,16,25,-,-,8,-
11월,13일,642,-,1,-,3,25,83,36,1,6,-,-,357,54,15,22,23,-,-,15,1
11월,14일,664,-,5,-,3,29,63,56,1,2,-,-,375,43,35,15,19,-,-,18,-
11월,15일,672,-,2,-,-,28,84,62,1,4,-,-,373,43,29,15,20,-,-,11,-
11월,16일,627,-,2,-,1,28,65,59,2,2,-,-,350,50,21,14,20,-,-,13,-
11월,17일,729,-,3,-,1,42,85,70,2,5,-,-,381,60,31,13,22,-,-,14,-
11월,18일,687,-,1,1,3,26,91,77,2,6,-,-,373,44,21,8,20,-,-,14,-
11월,19일,504,-,2,-,-,25,60,44,6,2,-,-,294,30,12,6,15,-,-,8,-
11월,20일,701,-,4,-,1,30,83,65,1,8,-,-,369,61,29,11,26,-,-,13,-
11월,21일,640,-,1,-,2,40,72,69,1,4,-,-,347,46,23,8,10,-,-,17,-
11월,22일,693,-,2,-,1,32,83,67,-,3,-,-,397,50,19,10,20,-,-,9,-
11월,23일,646,-,1,-,1,33,82,57,1,6,-,1,343,42,31,22,17,-,-,9,-
11월,24일,786,-,2,-,1,38,78,80,-,4,-,-,442,56,31,16,24,-,-,14,-
11월,25일,674,-,2,-,1,30,83,62,-,7,-,-,395,42,29,8,9,-,-,6,-
11월,26일,479,-,-,-,1,22,52,45,2,3,-,-,283,20,22,4,14,-,-,11,-
11월,27일,602,-,1,-,2,23,75,54,3,4,-,-,323,41,23,13,26,-,-,14,-
11월,28일,562,-,-,1,-,20,63,56,-,7,-,-,302,41,22,18,20,-,-,12,-
11월,29일,596,-,2,1,1,32,66,45,3,4,-,-,324,45,28,10,18,-,-,17,-
11월,30일,647,-,1,1,1,36,75,63,1,5,-,-,352,41,22,10,23,-,-,16,-
12월,합계,"18,249",-,49,9,21,837,"2,107","1,623",44,93,1,3,"10,316","1,158",749,340,526,2,-,370,1
12월,01일,730,-,-,-,-,31,75,81,2,1,-,-,403,44,34,18,23,-,-,18,-
12월,02일,635,-,1,-,-,26,77,64,2,5,-,-,353,38,18,13,29,-,-,9,-
12월,03일,476,-,2,-,-,16,55,34,-,4,-,-,276,47,15,5,14,-,-,8,-
12월,04일,610,-,3,-,-,30,70,47,3,1,-,-,354,35,30,8,21,-,-,8,-
12월,05일,580,-,1,-,1,26,57,54,1,1,-,-,323,43,32,12,18,-,-,11,-
12월,06일,735,-,2,1,1,32,79,74,-,3,-,-,420,47,35,13,16,-,-,12,-
12월,07일,603,-,-,-,3,24,68,58,-,4,-,-,363,28,16,7,17,-,-,15,-
12월,08일,700,-,1,2,2,26,85,62,4,5,-,-,388,51,32,12,18,-,-,12,-
12월,09일,667,-,2,-,1,34,81,67,1,4,1,-,352,50,26,16,19,-,-,13,-
12월,10일,473,-,1,-,1,25,55,34,-,3,-,-,283,36,9,9,8,-,-,9,-
12월,11일,521,-,2,1,-,27,64,54,2,3,-,1,269,25,37,8,11,-,-,17,-
12월,12일,570,-,1,1,-,21,73,35,-,1,-,-,327,33,32,10,21,-,-,15,-
12월,13일,582,-,-,-,-,18,71,57,1,3,-,-,322,40,22,9,26,-,-,13,-
12월,14일,580,-,2,-,2,32,65,53,1,2,-,-,321,39,14,11,14,-,-,24,-
12월,15일,634,-,2,1,1,20,71,51,3,2,-,-,383,35,25,12,14,-,-,14,-
12월,16일,629,-,4,1,-,29,72,63,1,3,-,-,364,30,21,6,18,1,-,16,-
12월,17일,465,-,2,-,1,22,58,39,1,5,-,-,278,18,15,8,11,-,-,7,-
12월,18일,574,-,3,-,-,31,61,45,-,4,-,-,328,34,21,6,22,-,-,19,-
12월,19일,581,-,-,-,-,19,63,53,1,4,-,-,323,50,22,11,21,-,-,14,-
12월,20일,664,-,-,-,2,28,78,56,1,5,-,1,366,36,38,14,22,-,-,17,-
12월,21일,686,-,1,-,2,29,71,53,4,-,-,-,390,53,35,17,20,-,-,11,-
12월,22일,762,-,2,-,1,40,79,68,2,3,-,-,423,58,32,18,22,-,-,14,-
12월,23일,693,-,1,-,1,32,70,69,4,6,-,1,396,45,19,19,18,-,-,12,-
12월,24일,466,-,1,-,-,31,51,37,2,2,-,-,272,25,12,10,17,-,-,6,-
12월,25일,398,-,2,1,-,16,60,38,1,1,-,-,223,22,13,4,9,1,-,7,-
12월,26일,574,-,-,-,-,27,62,54,1,2,-,-,326,40,26,11,19,-,-,6,-
12월,27일,549,-,1,-,-,25,79,48,-,2,-,-,301,33,29,9,17,-,-,5,-
12월,28일,511,-,3,-,1,27,60,28,1,4,-,-,289,33,30,13,11,-,-,11,-
